"NumberOfOutliers","Date"
240,9/27
300,9/28
146,9/29
420,9/30
1439,10/1
647,10/2
311,10/3
68,10/4
377,10/5
511,10/6
299,10/7
92,10/8
528,10/9
500,10/10
1433,10/11
580,10/14
470,10/15
749,10/16
623,10/17
375,10/18
955,10/19
162,10/20
110,10/21
273,10/22
138,10/23
213,10/24
64,10/26
448,10/27
172,10/28
502,10/29
264,10/30
155,10/31
420,11/1
557,11/2
427,11/3
504,11/4
527,11/5
293,11/6
637,11/7
686,11/8
442,11/9
440,11/10
526,11/11
525,11/12
252,11/23
344,11/24
172,11/25
269,11/26
220,11/27
169,11/28
209,11/29
330,11/30
326,12/1
192,12/2
240,12/3
152,12/4
165,12/5
318,12/6
618,12/7
600,12/8
525,12/9
594,12/10
1926,12/11
507,12/12
1631,12/13
696,12/14
424,12/15
1818,12/16
5654,12/17
777,12/18
653,12/19
705,12/20
540,12/21
610,12/22
581,12/23
655,12/24
488,12/25
181,12/26
52,12/28
323,12/29
442,12/30
785,12/31
