"Year","Month","Day","Hour","Line","NumberOfOutliers"
2013,10,26,22,915,1
2013,12,28,6,2303,1
2013,10,7,18,472,2
2013,12,10,2,634,1
2013,10,1,11,313,2
2013,10,1,11,311,2
2013,12,23,23,804,6
2013,12,24,20,650,1
2013,11,6,14,678,2
2013,11,3,13,110,1
2013,12,17,22,363,1
2013,12,17,22,361,1
2013,12,17,22,366,2
2013,11,4,14,838,2
2013,12,16,2,898,1
2013,12,11,10,848,1
2013,10,23,21,327,1
2013,10,27,7,363,1
2013,10,23,21,323,7
2013,10,23,21,322,4
2013,12,11,20,132,1
2013,12,12,23,398,2
2013,12,14,21,154,1
2013,10,23,23,110,1
2013,10,23,21,328,4
2013,12,17,8,396,1
2013,11,6,16,378,1
2013,12,5,19,345,1
2013,10,11,1,321,1
2013,10,11,1,323,1
2013,10,11,1,322,3
2013,10,11,1,328,3
2013,11,7,2,934,2
2013,12,19,16,711,1
2013,12,13,21,849,3
2013,10,5,8,908,1
2013,11,25,23,2342,1
2013,11,10,18,858,1
2013,10,5,3,119,1
2013,10,15,15,852,1
2013,12,1,19,901,3
2013,10,19,6,924,6
2013,10,24,1,161,1
2013,12,13,9,771,1
2013,12,7,20,161,1
2013,12,20,5,608,1
2013,12,21,23,382,2
2013,10,16,13,901,1
2013,12,11,18,804,2
2013,11,11,5,301,1
2013,12,26,16,2345,1
2013,11,1,8,345,1
2013,12,20,21,850,1
2013,12,6,17,415,1
2013,11,27,18,934,2
2013,12,11,9,615,1
2013,12,25,13,315,1
2013,12,24,15,840,2
2013,12,26,8,650,1
2013,12,26,8,653,1
2013,12,24,15,849,1
2013,10,17,4,901,3
2013,12,1,7,309,1
2013,10,19,23,178,1
2013,12,17,8,651,2
2013,12,28,8,934,2
2013,11,7,9,301,2
2013,10,6,21,634,2
2013,10,4,15,217,1
2013,10,10,8,915,1
2013,10,27,2,180,1
2013,10,20,18,906,2
2013,11,6,23,696,3
2013,11,7,19,2111,1
2013,12,17,8,217,1
2013,12,27,22,663,1
2013,12,17,16,2305,1
2013,12,19,2,934,3
2013,10,23,19,378,1
2013,12,17,16,2303,2
2013,12,17,16,2309,1
2013,10,10,22,901,2
2013,12,11,6,2336,1
2013,11,1,13,2302,2
2013,10,27,4,161,2
2013,9,30,11,2307,1
2013,12,20,21,322,1
2013,12,20,21,323,1
2013,12,25,21,366,1
2013,12,14,17,209,1
2013,12,25,21,360,2
2013,12,25,21,363,1
2013,12,16,20,178,1
