"Year","Month","Day","Hour","Line","BusId","NumberOfOutliers"
2013,12,24,22,398,D87212,1
2013,11,23,19,634,B10083,1
2013,12,11,15,2309,D90530,1
2013,11,8,20,397,D53630,1
2013,12,17,12,906,B31137,2
2013,12,21,5,512,A37571,1
2013,10,11,22,397,D53658,1
2013,12,11,4,512,A37524,1
2013,12,19,22,910,B10182,1
2013,12,16,19,393,D53594,1
2013,11,8,1,924,B10112,1
2013,9,28,23,583,A37611,1
2013,12,24,16,321,B28525,1
2013,12,15,5,569,A37641,1
2013,12,11,22,2335,D87822,1
2013,12,16,19,839,D87332,1
2013,11,11,3,133,A37589,2
2013,12,21,19,833,D87289,1
2013,12,31,13,840,D87230,1
2013,10,6,9,910,B10037,1
2013,11,9,10,323,B10121,1
2013,10,6,9,910,B10031,1
2013,12,20,17,398,D87097,1
2013,12,7,11,181,A41323,1
2013,12,9,1,398,D87511,1
2013,12,24,15,173,A41374,1
2013,10,11,20,322,B10048,1
2013,12,29,23,2336,D87887,1
2013,12,8,17,868,D87404,1
2013,11,11,22,634,B10096,1
2013,11,7,18,232,B25542,1
2013,12,30,22,771,D87787,1
2013,12,11,22,2333,C87817,1
2013,12,16,23,465,C30301,1
2013,10,1,18,2332,D86762,1
2013,12,13,14,374,B19591,1
2013,12,20,16,822,D87207,1
2013,10,1,20,306,C47656,1
2013,12,14,20,382,C87018,1
2013,12,16,17,2338,D86717,1
2013,11,1,21,901,B10063,1
2013,12,16,15,298,B75634,1
2013,12,11,9,945,B60053,1
2013,10,16,19,362,B11610,1
2013,10,2,2,183,A37634,2
2013,12,17,23,822,D87341,1
2013,12,17,8,2381,D86768,1
2013,11,9,10,497,B31043,1
2013,10,22,5,322,B10069,1
2013,11,8,18,172,A41105,1
2013,11,24,21,696,B28558,1
2013,12,16,20,782,C44587,1
2013,12,20,14,459,B42501,1
2013,12,20,15,822,D87207,1
2013,12,13,19,841,D87114,1
2013,12,24,21,155,A37715,1
2013,12,23,21,328,B10093,1
2013,12,19,21,915,B10195,1
2013,12,25,5,569,A37508,1
2013,12,10,1,825,D87270,1
2013,10,16,23,2308,D90511,1
2013,12,10,1,825,D87275,1
2013,10,9,3,934,B10018,2
2013,12,11,9,398,D87515,1
2013,10,10,6,2338,D86710,1
2013,12,13,22,868,D87380,1
2013,12,7,5,315,C41389,1
2013,12,23,21,382,C87179,1
2013,12,8,23,366,D87028,1
2013,12,4,6,650,B42620,1
2013,11,12,15,866,D86359,1
2013,12,30,10,650,B42620,2
2013,12,10,16,366,D87181,1
2013,10,19,7,328,B10028,1
2013,11,8,2,634,B10133,1
2013,12,27,13,689,D81088,1
2013,10,22,12,910,B10183,1
2013,12,19,3,323,B10162,1
2013,10,1,16,2251,B25801,1
2013,12,6,22,914,B10145,1
2013,12,17,12,773,B11723,2
2013,12,13,15,382,C87343,1
2013,12,8,19,663,B28613,1
2013,12,17,12,366,D87181,2
2013,11,7,3,635,B10126,2
2013,12,16,21,350,B73097,1
2013,10,11,19,324,B28599,1
2013,12,16,15,308,C21034,1
2013,12,17,11,701,C20085,2
2013,12,8,1,830,D87321,1
2013,12,9,22,2336,D87859,1
2013,12,11,4,322,B10004,1
2013,12,13,16,128,A41125,1
2013,12,17,11,334,B63047,2
2013,10,27,10,328,B10083,1
2013,10,9,3,184,A37624,2
2013,11,1,20,635,B10126,2
2013,12,9,3,910,B10147,1
2013,12,16,22,685,B73114,1
2013,12,17,11,409,A71599,2
2013,12,21,1,366,D87091,1
2013,11,7,6,2331,D90580,2
2013,12,11,22,2335,D87823,1
2013,12,31,10,498,B31061,1
2013,9,27,17,292,B55035,1
2013,10,11,19,328,B10090,2
2013,9,30,20,756,D90061,1
2013,10,14,17,342,B32574,1
2013,12,9,19,323,B10162,1
2013,12,15,22,935,B28590,1
2013,12,24,2,895,D87493,1
2013,12,10,2,133,A37649,1
2013,11,12,21,384,B60075,2
2013,12,13,20,404,B31129,1
2013,10,11,22,309,C41093,1
2013,10,29,20,323,B10165,2
2013,12,13,22,366,D87032,1
2013,12,13,20,2336,D87888,1
2013,12,12,5,190,A41019,1
2013,10,2,21,462,A41273,1
2013,11,11,16,750,D90006,1
2013,12,31,23,398,D87103,1
2013,12,17,10,232,B25550,1
2013,10,9,14,318,C41049,2
2013,11,5,14,837,D86406,1
2013,12,17,8,342,B32505,1
2013,11,26,4,584,A37723,1
2013,12,30,23,360,C87027,1
2013,12,17,11,392,D53670,2
2013,12,16,16,852,D86166,1
2013,10,16,17,300,D31339,1
2013,12,31,21,898,D87265,1
2013,10,24,13,906,B31117,2
2013,10,2,0,570,A37648,1
2013,11,1,11,2331,D90594,1
2013,11,9,18,474,A29140,2
2013,12,23,22,328,B10093,1
2013,12,17,10,342,B32597,1
2013,12,11,5,839,D87129,1
2013,12,24,20,2333,C87844,1
2013,12,11,21,133,A37666,1
2013,12,23,16,2335,D87798,1
2013,12,31,15,366,D87089,1
2013,12,22,11,186,A21151,1
2013,11,1,21,128,A41039,1
2013,10,16,14,898,D87260,1
2013,12,15,22,484,B31094,1
2013,10,16,4,634,B10152,1
2013,10,10,16,120,A71571,1
2013,12,16,20,184,A37533,1
2013,12,31,18,846,D81008,1
2013,12,16,23,630,B10559,1
2013,10,11,19,2145,B41801,1
2013,12,9,1,804,D87533,1
2013,12,20,23,804,D87501,2
2013,12,17,16,410,A72029,1
2013,12,20,23,804,D87503,1
2013,12,17,10,332,C47665,1
2013,12,17,12,462,A41233,2
2013,12,1,16,915,B10195,1
2013,12,17,12,462,A41235,2
2013,11,5,13,2343,B28714,1
2013,12,14,20,322,B10072,1
2013,12,18,11,868,D87204,1
2013,12,17,12,497,B31032,2
2013,12,11,23,898,D87260,2
2013,11,9,9,901,B10191,1
2013,12,2,23,2344,B28719,1
2013,12,7,1,830,D87438,1
2013,11,30,7,322,B10086,1
2013,10,27,21,696,B28523,1
2013,11,6,20,850,D87144,1
2013,12,17,11,434,A55024,2
2013,10,14,19,2302,B31538,1
2013,12,10,14,901,B10051,1
2013,9,30,15,394,D58642,1
2013,10,19,7,184,A37634,2
2013,10,14,19,2302,B31532,2
2013,10,29,4,448,C50146,1
2013,12,31,20,771,D87787,1
2013,11,2,22,162,A37535,1
2013,12,20,4,184,A37713,1
2013,11,2,22,162,A37538,1
2013,12,29,12,476,A29084,1
2013,12,14,22,398,D87190,1
2013,12,17,15,840,D87159,1
2013,12,13,22,154,A37548,1
2013,11,25,23,239,B71150,1
2013,12,11,7,395,D58635,1
2013,12,20,6,315,C41400,1
2013,11,6,21,901,B10164,1
2013,10,28,4,121,A41256,1
2013,10,1,11,323,B10075,1
2013,12,8,22,804,D87139,1
2013,11,25,11,650,B42620,1
2013,12,16,17,2101,B41803,1
2013,10,14,16,2345,C12501,2
2013,12,10,22,893,D87237,1
2013,12,13,23,2333,C87846,1
2013,11,24,14,483,B31034,1
2013,11,11,19,910,B10183,1
2013,11,11,20,2303,D90503,2
2013,12,17,11,889,C13012,1
2013,12,15,22,2336,D87878,1
2013,10,24,14,880,C20183,1
2013,12,9,20,822,D87339,1
2013,12,2,9,901,B10191,1
2013,10,20,4,127,A41150,1
2013,12,20,8,650,B42620,2
2013,10,10,11,915,B10079,1
2013,12,12,5,771,D87792,1
2013,12,11,23,893,D87489,1
2013,11,1,23,584,A37693,2
2013,10,27,20,634,B10166,1
2013,11,10,21,184,A37515,2
2013,12,19,3,154,A37517,1
2013,10,17,3,922,B10175,1
2013,12,11,12,803,D13174,1
2013,12,14,22,397,D53646,1
2013,12,16,17,624,B51597,1
2013,9,28,17,511,A37583,1
2013,12,16,20,190,A41375,1
2013,12,21,23,2344,B28702,1
2013,12,5,23,2302,B31546,1
2013,12,7,13,849,D87201,1
2013,11,7,18,2332,D86778,1
2013,12,11,8,397,D53575,1
2013,12,13,21,650,B42620,2
2013,12,17,12,2251,B25804,2
2013,12,17,12,2251,B25802,2
2013,12,19,22,361,C87188,1
2013,10,1,18,125,A71611,1
2013,12,21,16,125,A71600,1
2013,12,21,21,321,B28502,1
2013,10,3,4,133,A37584,1
2013,12,6,10,805,C50136,1
2013,11,12,8,835,D86106,1
2013,11,3,21,323,B10163,1
2013,10,24,5,328,B10104,1
2013,12,24,15,366,D87459,1
2013,10,6,13,910,B10074,1
2013,11,29,12,328,B10002,1
2013,12,15,17,186,A21152,1
2013,12,18,11,217,A71595,2
2013,12,12,20,813,D87331,1
2013,11,8,18,910,B10183,2
2013,12,18,17,868,D87204,1
2013,12,24,5,569,A37652,1
2013,11,23,14,583,A37583,1
2013,12,22,4,583,A37703,1
