"Year","Month","Day","Line","NumberOfOutliers"
2013,10,7,362,2
2013,10,7,363,4
2013,11,5,362,1
2013,10,10,382,3
2013,12,3,173,1
2013,10,10,384,1
2013,10,14,2203,1
2013,12,19,858,1
2013,10,10,388,2
2013,12,19,850,3
2013,11,10,119,1
2013,12,17,584,3
2013,12,5,736,1
2013,12,5,2310,3
2013,12,16,2381,7
2013,11,30,652,1
2013,11,30,653,1
2013,11,30,650,1
2013,11,29,901,3
2013,12,9,426,1
2013,9,29,669,1
2013,10,28,583,2
2013,10,23,110,1
2013,10,18,378,2
2013,10,5,318,1
2013,10,5,315,1
2013,10,18,375,2
2013,10,5,313,2
2013,12,17,155,1
2013,12,17,157,3
2013,12,1,298,1
2013,12,17,158,2
2013,11,7,277,2
2013,11,5,761,2
2013,12,26,120,1
2013,10,22,924,3
2013,12,26,123,1
2013,10,19,634,15
2013,10,19,635,4
2013,12,26,126,1
2013,12,26,127,1
2013,12,11,465,2
2013,12,11,462,2
2013,12,11,460,2
2013,12,17,371,7
2013,12,17,370,3
2013,12,17,373,1
2013,12,17,376,1
2013,9,30,2310,1
2013,12,17,378,11
2013,12,27,315,1
2013,11,11,180,2
2013,11,11,183,1
2013,10,27,569,3
2013,11,11,184,2
2013,11,23,433,1
2013,11,29,277,1
2013,10,6,922,1
2013,10,6,925,1
2013,10,6,924,8
2013,10,20,178,4
2013,10,15,629,1
2013,10,3,512,1
2013,10,15,622,1
2013,12,24,825,4
2013,12,24,824,1
2013,12,24,822,7
2013,10,30,136,1
2013,12,8,901,3
2013,10,24,173,1
2013,12,16,638,4
2013,10,24,170,1
2013,12,16,630,6
2013,12,17,485,4
2013,12,17,484,8
2013,12,16,635,1
2013,12,16,634,3
2013,12,16,636,5
2013,11,8,460,2
2013,11,28,350,1
2013,11,26,651,1
2013,11,26,650,1
2013,12,22,663,1
2013,12,20,308,2
2013,12,16,786,1
2013,12,22,842,1
2013,12,22,840,4
2013,12,20,300,3
2013,12,20,301,2
2013,12,22,849,2
2013,12,28,867,1
2013,11,6,884,4
2013,11,6,881,1
2013,12,28,869,1
2013,12,28,868,1
2013,10,15,2307,2
2013,10,15,2303,3
2013,10,15,2302,4
2013,11,12,2145,1
2013,10,15,2309,2
2013,10,15,2308,1
2013,12,3,653,1
2013,10,27,426,1
2013,12,19,110,2
2013,10,9,901,8
2013,12,19,119,5
2013,11,10,940,1
2013,12,10,361,3
2013,11,27,2344,1
2013,11,27,2342,1
2013,11,9,910,10
2013,11,9,914,2
2013,11,9,915,3
2013,12,25,569,4
2013,12,7,363,2
2013,10,7,170,1
2013,10,17,472,2
2013,11,6,133,3
2013,12,27,386,1
2013,12,2,778,1
2013,10,11,362,10
2013,10,28,910,5
2013,12,12,127,1
2013,12,13,178,1
2013,10,28,915,2
2013,10,11,367,2
2013,10,11,497,9
2013,10,11,498,12
2013,12,13,172,1
2013,10,11,368,6
2013,10,11,369,7
2013,12,12,129,1
2013,12,12,128,1
2013,11,6,136,1
2013,10,9,676,1
2013,12,5,455,1
2013,11,5,871,2
2013,10,6,2017,1
2013,9,29,328,2
2013,11,5,872,1
2013,12,29,935,1
2013,9,29,322,1
2013,9,29,323,2
2013,12,4,2336,1
2013,12,26,607,1
2013,11,24,178,3
2013,12,7,394,1
2013,12,7,393,1
2013,12,13,2802,7
2013,12,7,398,16
2013,12,31,409,1
2013,11,5,2381,1
2013,11,8,292,1
2013,11,8,298,2
2013,10,10,629,2
2013,12,24,217,2
2013,11,30,460,1
2013,11,30,462,1
2013,12,11,893,5
2013,10,20,362,1
2013,10,20,363,1
2013,11,23,602,1
2013,12,11,898,17
2013,10,29,523,1
2013,12,10,155,2
2013,10,29,298,1
2013,11,8,747,1
2013,12,18,2251,1
2013,10,1,318,2
2013,12,5,378,6
2013,10,1,311,11
2013,11,7,2203,1
2013,10,1,313,9
2013,10,1,312,7
2013,10,29,747,3
2013,10,29,748,8
2013,10,3,180,2
2013,12,8,229,1
2013,10,3,184,5
2013,11,10,301,1
2013,11,10,309,1
2013,11,25,629,2
2013,12,6,315,1
2013,12,11,173,1
2013,12,10,880,1
2013,12,13,511,1
2013,10,11,2345,1
2013,10,11,2344,10
2013,12,13,513,4
2013,10,11,2343,15
2013,10,11,2342,9
2013,12,13,512,8
2013,10,9,2332,3
2013,10,23,635,1
2013,10,23,634,2
2013,9,28,456,1
2013,11,9,721,1
2013,10,30,838,1
2013,10,23,323,7
2013,10,23,322,3
2013,10,23,325,1
2013,10,23,324,2
2013,10,23,327,1
2013,10,23,326,2
2013,10,30,830,2
2013,10,30,835,1
2013,10,14,136,3
2013,10,14,689,2
2013,10,14,133,4
2013,11,12,2332,2
2013,11,12,2338,1
2013,10,15,161,2
2013,10,15,162,1
2013,12,17,748,3
2013,12,17,749,1
2013,12,8,840,8
2013,12,17,742,2
2013,12,8,841,4
2013,12,17,747,2
2013,10,14,352,3
2013,10,14,353,2
2013,10,14,350,1
2013,12,16,178,2
2013,10,14,355,1
2013,12,16,176,1
2013,10,14,358,1
2013,10,26,158,1
2013,12,16,172,1
2013,12,16,173,3
2013,12,16,170,1
2013,11,8,752,3
2013,12,2,161,1
2013,12,13,330,1
2013,11,6,415,2
2013,11,24,2017,1
2013,12,11,790,1
2013,12,13,332,1
2013,12,11,795,1
2013,12,11,794,1
2013,10,16,184,2
2013,12,22,308,2
2013,12,23,393,2
2013,12,23,396,2
2013,12,9,850,4
2013,12,23,398,6
2013,10,17,867,1
2013,10,17,866,2
2013,10,17,864,2
2013,12,18,434,1
2013,10,18,376,1
2013,11,23,382,1
2013,9,27,315,1
2013,12,13,415,3
2013,9,27,313,1
2013,11,12,277,1
2013,12,29,934,1
2013,9,30,915,6
2013,9,30,914,1
2013,9,30,913,2
2013,9,30,910,6
2013,12,14,840,8
2013,12,14,922,1
2013,12,14,925,1
2013,12,14,924,4
2013,10,11,803,5
2013,11,12,181,3
2013,11,12,184,2
2013,10,11,292,16
2013,10,10,846,1
2013,12,26,850,2
2013,12,26,852,1
2013,12,29,484,1
2013,12,24,821,6
2013,10,9,249,2
2013,12,19,301,1
2013,10,9,247,3
2013,10,2,678,1
2013,12,31,650,1
2013,12,19,308,4
2013,12,19,309,1
2013,11,10,178,3
2013,11,10,170,1
2013,11,10,172,2
2013,10,28,616,1
2013,10,11,771,1
2013,10,11,773,3
2013,12,25,229,2
2013,12,5,2332,1
2013,10,7,349,1
2013,10,7,438,1
2013,12,30,209,1
2013,11,6,2338,2
2013,10,7,345,3
2013,9,29,685,1
2013,12,12,2381,1
2013,10,31,497,2
2013,12,4,872,1
2013,11,9,119,3
2013,10,23,132,1
2013,10,23,133,1
2013,11,9,110,1
2013,11,9,111,1
2013,12,16,2101,1
2013,10,19,438,1
2013,10,18,312,1
2013,10,3,323,10
2013,12,16,465,7
2013,10,5,330,1
2013,12,30,2802,3
2013,12,22,127,1
2013,10,17,786,2
2013,11,24,363,2
2013,11,1,170,2
2013,11,7,525,1
2013,11,7,254,2
2013,11,1,172,1
2013,11,2,884,2
2013,12,21,569,4
2013,11,1,173,4
2013,10,18,2014,1
2013,10,18,2015,1
2013,10,22,908,1
2013,11,24,342,1
2013,11,4,721,1
2013,12,11,405,1
2013,12,11,409,1
2013,12,20,2345,4
2013,12,20,2342,1
2013,11,6,309,1
2013,12,18,398,8
2013,12,18,391,1
2013,10,15,422,1
2013,10,15,425,1
2013,12,18,397,1
2013,11,11,438,1
2013,11,23,415,2
2013,11,25,639,1
2013,10,20,111,1
2013,10,20,110,1
2013,10,6,901,3
2013,12,8,696,6
2013,10,15,393,9
2013,10,15,392,2
2013,10,15,390,1
2013,10,15,397,7
2013,10,15,396,2
2013,10,4,378,1
2013,10,15,394,1
2013,12,17,173,2
2013,12,17,172,1
2013,12,17,170,3
2013,9,28,663,1
2013,10,30,157,1
2013,12,24,841,3
2013,12,24,840,7
2013,10,30,397,2
2013,12,24,849,3
2013,10,1,123,2
2013,10,1,120,2
2013,10,1,121,2
2013,10,1,126,1
2013,10,1,127,1
2013,10,1,125,3
2013,10,1,128,3
2013,12,16,345,1
2013,12,16,611,3
2013,12,17,358,2
2013,12,16,341,5
2013,12,16,615,2
2013,12,16,342,5
2013,12,17,353,6
2013,12,17,352,3
2013,12,17,351,1
2013,12,17,350,6
2013,12,16,349,2
2013,12,16,348,3
2013,12,17,355,6
2013,12,17,354,1
2013,10,5,924,10
2013,10,5,922,2
2013,11,27,485,1
2013,9,27,783,1
2013,9,27,781,1
2013,11,26,635,2
2013,11,26,634,6
2013,11,26,639,1
2013,10,17,2310,3
2013,12,22,821,7
2013,12,17,379,1
2013,12,22,822,5
2013,12,22,825,2
2013,12,22,824,1
2013,12,20,322,1
2013,12,20,323,3
2013,11,9,2344,7
2013,12,20,328,4
2013,12,20,329,1
2013,11,9,2342,1
2013,11,9,2343,2
2013,11,30,910,4
2013,10,2,448,1
2013,12,4,178,1
2013,11,30,915,5
2013,12,3,634,2
2013,12,19,460,1
2013,10,27,405,1
2013,12,20,180,3
