Ano,DiaMes,LinhaAccu,Linhapred,LatitudePonto_19,LongitudePonto_12,TimeStamp_15,LatitudePonto_18,LongitudePonto_0,LongitudePonto_1,LongitudePonto_2,LongitudePonto_3,TimeStamp_2,TimeStamp_3,TimeStamp_0,TimeStamp_1,LongitudePonto_8,LongitudePonto_9,LatitudePonto_17,Onibus,LongitudePonto_10,TimeStamp_8,TimeStamp_9,TimeStamp_18,TimeStamp_19,LongitudePonto_11,Mes,LongitudePonto_17,TimeStamp_10,TimeStamp_11,TimeStamp_12,LongitudePonto,TimeStamp_14,Linha,TimeStamp_16,TimeStamp_17,TimeStamp_6,LongitudePonto_7,TimeStamp_7,TimeStamp,LongitudePonto_19,TimeStamp_4,LatitudePonto_13,LatitudePonto_14,TimeStamp_5,LatitudePonto,LatitudePonto_15,LongitudePonto_4,ID,LongitudePonto_18,LongitudePonto_5,Hora,Velocidade,TimeStamp_13,LongitudePonto_6,LatitudePonto_10,DescricaoPonto,LatitudePonto_16,LatitudePonto_11,NomePonto,LongitudePonto_13,LatitudePonto_8,LatitudePonto_9,LongitudePonto_16,LatitudePonto_12,LongitudePonto_14,LongitudePonto_15,LatitudePonto_2,LatitudePonto_3,LatitudePonto_0,LatitudePonto_1,LatitudePonto_6,LatitudePonto_7,LatitudePonto_4,LatitudePonto_5
2014,1,0.0937345,804,-22.91596,-43.607769,2014-01-01 13:54:32.113000+00:00,-22.917521,-43.608009,-43.608051,-43.60799,-43.60807,2014-01-01 20:14:17.970000+00:00,2014-01-01 19:44:03.340000+00:00,2014-01-01 21:46:47.390000+00:00,2014-01-01 20:45:02.227000+00:00,-43.6077,-43.60778,-22.917629,D87047,-43.6077,2014-01-01 17:29:50.977000+00:00,2014-01-01 16:59:33.507000+00:00,2014-01-01 13:34:19.383000+00:00,2014-01-01 13:28:18.130000+00:00,-43.607891,1,-43.60788,2014-01-01 16:32:16.953000+00:00,2014-01-01 16:02:19.317000+00:00,2014-01-01 15:32:02.620000+00:00,-43.681049,2014-01-01 13:59:33.090000+00:00,804,2014-01-01 13:49:24.890000+00:00,2014-01-01 13:39:18.313000+00:00,2014-01-01 18:29:17.360000+00:00,-43.607719,2014-01-01 17:59:18.133000+00:00,2014-01-01 05:51:32.717 UTC,-43.62558,2014-01-01 19:14:48.737000+00:00,-22.918421,-22.918381,2014-01-01 18:59:02.563000+00:00,-22.931129,-22.91795,-43.608219,148577329,-43.607849,-43.607738,5,14,2014-01-01 15:02:17.983000+00:00,-43.60762,-22.918341,Data/Hora - 01/01/2014 06:50:24<br /><br /> Velocidade: 14 Km/h,-22.917669,-22.918409,804 - D87047,-43.6077,-22.91843,-22.918449,-43.60791,-22.918409,-43.60783,-43.60775,-22.918409,-22.91843,-22.918301,-22.91851,-22.91851,-22.91844,-22.918381,-22.918579
2014,1,0.090023,898,-22.915211,-43.60743,2014-01-01 05:11:18.163000+00:00,-22.91744,-43.607471,-43.607441,-43.607479,-43.607441,2014-01-01 11:23:47.997000+00:00,2014-01-01 10:53:04.830000+00:00,2014-01-01 12:23:16.387000+00:00,2014-01-01 11:53:17.863000+00:00,-43.607491,-43.60743,-22.917521,D87836,-43.607471,2014-01-01 08:22:04.687000+00:00,2014-01-01 07:52:18.157000+00:00,2014-01-01 04:56:04.053000+00:00,2014-01-01 04:51:33.533000+00:00,-43.607479,1,-43.607811,2014-01-01 07:21:32.253000+00:00,2014-01-01 06:51:16.817000+00:00,2014-01-01 06:21:31.990000+00:00,-43.200439,2014-01-01 05:16:19.577000+00:00,2335,2014-01-01 05:06:04.773000+00:00,2014-01-01 05:01:03.797000+00:00,2014-01-01 09:23:17.320000+00:00,-43.607609,2014-01-01 08:53:17.527000+00:00,2014-01-01 00:04:32.9 UTC,-43.606419,2014-01-01 10:23:32.933000+00:00,-22.918289,-22.918329,2014-01-01 09:53:01.803000+00:00,-22.98683,-22.9186,-43.607441,148376124,-43.607861,-43.607422,0,0,2014-01-01 05:51:32.717000+00:00,-43.60743,-22.91832,Data/Hora - 01/01/2014 00:59:41<br /><br /> Velocidade: 0 Km/h,-22.91757,-22.91828,2335 - D87836,-43.60746,-22.918261,-22.918301,-43.6078,-22.918301,-43.607479,-43.60817,-22.918289,-22.91828,-22.91827,-22.918261,-22.918261,-22.918209,-22.91824,-22.918261
2014,1,0.094737,898,-22.918301,-43.607479,2014-01-01 09:53:01.803000+00:00,-22.918261,-43.607399,-43.607391,-43.607559,-43.60741,2014-01-01 16:27:04.443000+00:00,2014-01-01 15:57:17.343000+00:00,2014-01-01 17:29:50.977000+00:00,2014-01-01 16:59:33.507000+00:00,-43.60743,-43.60746,-22.918209,D87836,-43.607471,2014-01-01 12:58:17.583000+00:00,2014-01-01 12:28:16.403000+00:00,2014-01-01 08:22:04.687000+00:00,2014-01-01 07:52:18.157000+00:00,-43.607441,1,-43.607609,2014-01-01 12:23:16.387000+00:00,2014-01-01 11:53:17.863000+00:00,2014-01-01 11:23:47.997000+00:00,-43.200439,2014-01-01 10:23:32.933000+00:00,2335,2014-01-01 09:23:17.320000+00:00,2014-01-01 08:53:17.527000+00:00,2014-01-01 14:30:33.397000+00:00,-43.607471,2014-01-01 13:59:33.090000+00:00,2014-01-01 00:04:32.9 UTC,-43.60743,2014-01-01 15:27:03.073000+00:00,-22.91828,-22.91824,2014-01-01 14:57:02.033000+00:00,-22.98683,-22.918261,-43.607498,148376124,-43.607491,-43.60743,0,0,2014-01-01 10:53:04.830000+00:00,-43.607441,-22.91827,Data/Hora - 01/01/2014 00:59:41<br /><br /> Velocidade: 0 Km/h,-22.918261,-22.918261,2335 - D87836,-43.607441,-22.91828,-22.91827,-43.60743,-22.918289,-43.607441,-43.607422,-22.918261,-22.91819,-22.918289,-22.918301,-22.91827,-22.91831,-22.918221,-22.918221
2014,1,0.0953195,898,-22.91827,-43.607559,2014-01-01 14:57:02.033000+00:00,-22.91828,-43.607819,-43.60738,-43.607391,-43.607479,2014-01-01 21:31:19.003000+00:00,2014-01-01 21:00:03.067000+00:00,2014-01-01 22:29:04.110000+00:00,2014-01-01 22:01:18.797000+00:00,-43.60738,-43.607319,-22.91831,D87836,-43.607399,2014-01-01 18:29:17.360000+00:00,2014-01-01 17:59:18.133000+00:00,2014-01-01 12:58:17.583000+00:00,2014-01-01 12:28:16.403000+00:00,-43.607391,1,-43.607471,2014-01-01 17:29:50.977000+00:00,2014-01-01 16:59:33.507000+00:00,2014-01-01 16:27:04.443000+00:00,-43.200439,2014-01-01 15:27:03.073000+00:00,2335,2014-01-01 14:30:33.397000+00:00,2014-01-01 13:59:33.090000+00:00,2014-01-01 19:29:48.097000+00:00,-43.607399,2014-01-01 18:59:02.563000+00:00,2014-01-01 00:04:32.9 UTC,-43.60746,2014-01-01 20:30:48.297000+00:00,-22.91819,-22.918221,2014-01-01 20:00:03.603000+00:00,-22.98683,-22.918221,-43.607471,148376124,-43.60743,-43.60741,0,0,2014-01-01 15:57:17.343000+00:00,-43.607059,-22.918289,Data/Hora - 01/01/2014 00:59:41<br /><br /> Velocidade: 0 Km/h,-22.91827,-22.918301,2335 - D87836,-43.60741,-22.918329,-22.91828,-43.607441,-22.918261,-43.607498,-43.60743,-22.91831,-22.918261,-22.918369,-22.918301,-22.9182,-22.918301,-22.918329,-22.918341
2014,1,0.00938387,465,-20.714209,-43.245037,2014-01-01 01:32:33.393000+00:00,-20.714209,-43.192448,-43.192661,-43.192661,-43.192661,2014-01-01 03:29:01.687000+00:00,2014-01-01 03:23:33.400000+00:00,2014-01-01 03:38:31.210000+00:00,2014-01-01 03:33:32.593000+00:00,-43.245117,-43.245037,-20.714209,C41400,-43.24435,2014-01-01 02:58:32.997000+00:00,2014-01-01 02:53:32.963000+00:00,2014-01-01 00:34:16.833000+00:00,2014-01-01 00:29:31.177000+00:00,-43.245037,1,-41.547852,2014-01-01 02:49:02.273000+00:00,2014-01-01 02:43:31.710000+00:00,2014-01-01 02:33:18.417000+00:00,-41.547852,2014-01-01 02:03:20.343000+00:00,315,2014-01-01 01:00:31.513000+00:00,2014-01-01 00:39:32.080000+00:00,2014-01-01 03:08:32.633000+00:00,-43.245197,2014-01-01 03:03:32.060000+00:00,2014-01-01 00:04:32.9 UTC,-41.547852,2014-01-01 03:18:16.540000+00:00,-22.857418,-22.857422,2014-01-01 03:13:32.690000+00:00,-20.714209,-22.85741,-43.192692,148376399,-41.547852,-43.210239,0,442,2014-01-01 02:28:33.607000+00:00,-43.247818,-22.857426,Data/Hora - 01/01/2014 00:59:15<br /><br /> Velocidade: 442 Km/h,-22.856352,-22.857279,315 - C41400,-43.245037,-22.858101,-22.857466,-43.24437,-22.857418,-43.245003,-43.244938,-22.904634,-22.904623,-22.904509,-22.904577,-22.852339,-22.85815,-22.904623,-22.900928
2014,1,0.0902969,898,-22.91654,-43.607021,2014-01-01 09:03:17.457000+00:00,-22.91654,-43.607021,-43.607021,-43.607021,-43.607021,2014-01-01 16:07:33.727000+00:00,2014-01-01 15:37:02.267000+00:00,2014-01-01 17:09:05.680000+00:00,2014-01-01 16:37:33.877000+00:00,-43.607021,-43.607021,-22.91654,D87101,-43.607021,2014-01-01 13:08:48.240000+00:00,2014-01-01 12:38:17.317000+00:00,2014-01-01 07:01:02.960000+00:00,2014-01-01 06:31:17.340000+00:00,-43.607021,1,-43.607021,2014-01-01 12:08:46.840000+00:00,2014-01-01 11:38:18.343000+00:00,2014-01-01 11:08:20.017000+00:00,-43.684528,2014-01-01 09:33:02.150000+00:00,898,2014-01-01 08:02:04.117000+00:00,2014-01-01 07:31:18.413000+00:00,2014-01-01 14:09:34.157000+00:00,-43.607021,2014-01-01 13:39:18.313000+00:00,2014-01-01 00:04:32.9 UTC,-43.607021,2014-01-01 15:07:17.207000+00:00,-22.91654,-22.91654,2014-01-01 14:35:02.850000+00:00,-22.95401,-22.91654,-43.607021,148376975,-43.607021,-43.607021,0,39,2014-01-01 10:08:33.110000+00:00,-43.607021,-22.91654,Data/Hora - 01/01/2014 01:03:20<br /><br /> Velocidade: 39 Km/h,-22.91654,-22.91654,898 - D87101,-43.607021,-22.91654,-22.91654,-43.607021,-22.91654,-43.607021,-43.607021,-22.91654,-22.91654,-22.91654,-22.91654,-22.91654,-22.91654,-22.91654,-22.91654
2014,1,0.0922752,898,-22.91654,-43.607021,2014-01-01 14:35:02.850000+00:00,-22.91654,-43.607731,-43.607738,-43.606972,-43.606972,2014-01-01 20:00:03.603000+00:00,2014-01-01 19:54:49.980000+00:00,2014-01-01 20:09:48.370000+00:00,2014-01-01 20:04:03.740000+00:00,-43.607021,-43.607021,-22.91654,D87101,-43.607021,2014-01-01 18:09:02.307000+00:00,2014-01-01 17:39:31.963000+00:00,2014-01-01 13:08:48.240000+00:00,2014-01-01 12:38:17.317000+00:00,-43.607021,1,-43.607021,2014-01-01 17:09:05.680000+00:00,2014-01-01 16:37:33.877000+00:00,2014-01-01 16:07:33.727000+00:00,-43.684528,2014-01-01 15:07:17.207000+00:00,898,2014-01-01 14:09:34.157000+00:00,2014-01-01 13:39:18.313000+00:00,2014-01-01 19:10:03.720000+00:00,-43.607021,2014-01-01 18:39:01.470000+00:00,2014-01-01 00:04:32.9 UTC,-43.607021,2014-01-01 19:49:18.550000+00:00,-22.91654,-22.91654,2014-01-01 19:40:04.927000+00:00,-22.95401,-22.91654,-43.606991,148376975,-43.607021,-43.607021,0,39,2014-01-01 15:37:02.267000+00:00,-43.607021,-22.91654,Data/Hora - 01/01/2014 01:03:20<br /><br /> Velocidade: 39 Km/h,-22.91654,-22.91654,898 - D87101,-43.607021,-22.91654,-22.91654,-43.607021,-22.91654,-43.607021,-43.607021,-22.916559,-22.916559,-22.917721,-22.917299,-22.91654,-22.91654,-22.916599,-22.91654
2014,1,0.0935497,898,-22.91745,-43.607761,2014-01-01 13:18:33.593000+00:00,-22.917471,-43.607731,-43.6077,-43.607712,-43.60788,2014-01-01 20:00:03.603000+00:00,2014-01-01 19:29:48.097000+00:00,2014-01-01 21:00:03.067000+00:00,2014-01-01 20:30:48.297000+00:00,-43.607559,-43.607559,-22.917521,D87534,-43.607712,2014-01-01 17:19:34.377000+00:00,2014-01-01 16:49:47.733000+00:00,2014-01-01 13:03:34.420000+00:00,2014-01-01 12:58:17.583000+00:00,-43.6077,1,-43.60791,2014-01-01 16:17:18.987000+00:00,2014-01-01 15:47:16.777000+00:00,2014-01-01 14:47:18.790000+00:00,-43.680939,2014-01-01 13:44:32.930000+00:00,804,2014-01-01 13:13:18.997000+00:00,2014-01-01 13:08:48.240000+00:00,2014-01-01 18:19:16.533000+00:00,-43.607559,2014-01-01 17:49:02.057000+00:00,2014-01-01 07:52:18.157 UTC,-43.60788,2014-01-01 18:59:02.563000+00:00,-22.91921,-22.91925,2014-01-01 18:29:17.360000+00:00,-22.94841,-22.91927,-43.60783,148635894,-43.607891,-43.607681,7,0,2014-01-01 14:14:18.827000+00:00,-43.607731,-22.91925,Data/Hora - 01/01/2014 08:51:43<br /><br /> Velocidade: 0 Km/h,-22.919241,-22.91925,804 - D87534,-43.607761,-22.91925,-22.91925,-43.607731,-22.91921,-43.607731,-43.6077,-22.91926,-22.919201,-22.919319,-22.91925,-22.91931,-22.91925,-22.919319,-22.919279
2014,1,0.0901625,898,-22.916639,-43.607052,2014-01-01 00:29:02.907000+00:00,-22.91663,-43.607071,-43.607079,-43.607079,-43.607059,2014-01-01 01:37:31.657000+00:00,2014-01-01 01:32:33.393000+00:00,2014-01-01 01:47:33.157000+00:00,2014-01-01 01:42:32.850000+00:00,-43.607071,-43.607071,-22.916651,D87160,-43.607029,2014-01-01 01:06:48.517000+00:00,2014-01-01 01:00:31.513000+00:00,2014-01-01 00:14:16.787000+00:00,2014-01-01 00:09:32.100000+00:00,-43.607052,1,-43.607052,2014-01-01 00:55:46.880000+00:00,2014-01-01 00:50:18.390000+00:00,2014-01-01 00:45:16.953000+00:00,-43.607079,2014-01-01 00:34:16.833000+00:00,840,2014-01-01 00:24:16.603000+00:00,2014-01-01 00:19:31.600000+00:00,2014-01-01 01:16:32.630000+00:00,-43.607071,2014-01-01 01:11:32.590000+00:00,2014-01-01 00:04:32.9 UTC,-43.60704,2014-01-01 01:27:18.097000+00:00,-22.91666,-22.91666,2014-01-01 01:22:03.197000+00:00,-22.91662,-22.916679,-43.607109,148376794,-43.607029,-43.607109,0,0,2014-01-01 00:39:32.080000+00:00,-43.60709,-22.916639,Data/Hora - 01/01/2014 01:03:39<br /><br /> Velocidade: 0 Km/h,-22.91666,-22.916639,840 - D87160,-43.607052,-22.91655,-22.916611,-43.607059,-22.91663,-43.607101,-43.607101,-22.916599,-22.91662,-22.916611,-22.916599,-22.91658,-22.916599,-22.916559,-22.91655
2014,1,0.0968356,2343,-22.815229,-43.188221,2014-01-01 03:54:02.420000+00:00,-22.81526,-43.188061,-43.188278,-43.18816,-43.18816,2014-01-01 19:29:48.097000+00:00,2014-01-01 18:59:02.563000+00:00,2014-01-01 20:30:48.297000+00:00,2014-01-01 20:00:03.603000+00:00,-43.188099,-43.188129,-22.815201,B28601,-43.188271,2014-01-01 16:27:04.443000+00:00,2014-01-01 15:57:17.343000+00:00,2014-01-01 02:23:33.040000+00:00,2014-01-01 01:53:03.093000+00:00,-43.188171,1,-43.18816,2014-01-01 15:27:03.073000+00:00,2014-01-01 14:57:35.060000+00:00,2014-01-01 13:28:18.130000+00:00,-43.188202,2014-01-01 04:25:03.470000+00:00,616,2014-01-01 03:23:33.400000+00:00,2014-01-01 02:53:32.963000+00:00,2014-01-01 17:29:50.977000+00:00,-43.188351,2014-01-01 16:59:33.507000+00:00,2014-01-01 00:24:16.603 UTC,-43.188068,2014-01-01 18:29:17.360000+00:00,-22.81525,-22.81522,2014-01-01 17:59:18.133000+00:00,-22.81525,-22.815571,-43.188148,148388571,-43.18819,-43.18808,0,0,2014-01-01 12:28:16.403000+00:00,-43.18811,-22.815281,Data/Hora - 01/01/2014 00:20:42<br /><br /> Velocidade: 0 Km/h,-22.815189,-22.815241,616 - B28601,-43.188148,-22.815229,-22.815161,-43.188202,-22.81525,-43.188141,-43.188721,-22.81521,-22.815241,-22.81529,-22.815189,-22.815229,-22.815479,-22.815359,-22.815201
